rank, treatment, median, iqr, plot, min, max
 0,       progressive,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,    ExpProgressive,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,               UCB,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,                PI,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,                EI,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,              bonr,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,              rand,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,      SimAnnealing,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 0,              bonr,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 0,    ExpProgressive,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,                b2,40,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,       progressive,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,              rand,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,               bonr,9,  0.01,  0.04, *                   |                   ,  0.00,  1.00
 1,                PI,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,        progressive,9,  0.01,  0.05, *                   |                   ,  0.00,  1.00
 1,                EI,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,               UCB,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,                b2,15,  0.01,  0.04, *                   |                   ,  0.00,  1.00
 1,               rand,9,  0.01,  0.05, *-                  |                   ,  0.00,  1.00
 1,      SimAnnealing,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,                 EI,9,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,                UCB,9,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 2,                 PI,9,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 2,     ExpProgressive,9,  0.01,  0.05, *-                  |                   ,  0.00,  1.00
 2,       SimAnnealing,9,  0.02,  0.05, *-                  |                   ,  0.00,  1.00
 3,                 b2,9,  0.05,  0.19, --*----             |                   ,  0.00,  1.00
 4,             base,196,  0.26,  0.18,        ---*---      |                   ,  0.00,  1.00
